run,architecture,concurrency,rps,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,errors,timeouts,non2xx,cpu_percent,event_loop_p99_ms,duration_ms,completed_requests,test_order,timestamp,node_version,machine_info
4,stateful,200,9280.00,21.06,20.87,30.45,36.57,0,0,0,33.57,20.77,30024,278593,78,2026-08-27T05:14:58.283Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,200,9418.67,20.75,20.65,29.36,35.01,0,0,0,33.19,20.48,30038,282752,79,2026-08-27T05:15:49.427Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,220,9391.74,22.93,23.05,31.00,37.32,0,0,0,29.78,15.91,30013,281963,80,2026-08-27T05:16:40.583Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,210,3687.30,56.36,51.28,134.38,177.79,0,0,0,20.30,10.63,30014,110808,81,2026-08-27T05:17:31.709Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,195,3623.47,53.25,46.18,125.35,157.93,0,0,0,19.84,10.52,30010,108882,82,2026-08-27T05:18:22.805Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,175,3466.07,49.94,42.70,111.32,134.72,0,0,0,18.53,10.58,30010,104140,83,2026-08-27T05:19:13.874Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,175,8182.74,20.89,20.57,32.37,37.64,0,0,0,26.96,21.97,30022,245647,84,2026-08-27T05:20:04.932Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,225,9225.60,23.89,23.86,33.90,39.90,0,0,0,31.12,17.74,30022,276990,85,2026-08-27T05:20:56.065Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,195,3581.40,53.89,46.88,125.10,166.00,0,0,0,19.42,10.48,30011,107623,86,2026-08-27T05:21:47.222Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,215,3632.57,58.65,50.48,139.25,172.26,0,0,0,19.53,10.76,30012,109172,87,2026-08-27T05:22:38.291Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,175,3536.80,48.95,41.49,112.26,140.72,0,0,0,18.90,10.50,30012,106261,88,2026-08-27T05:23:29.368Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,180,3698.94,48.14,40.07,119.06,145.89,0,0,0,18.54,10.49,30008,111139,89,2026-08-27T05:24:20.440Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,215,3632.40,58.65,57.03,133.50,161.47,0,0,0,21.03,10.44,30013,109171,90,2026-08-27T05:25:11.504Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,225,3687.37,60.47,53.82,145.01,183.33,0,0,0,18.64,10.51,30012,110830,91,2026-08-27T05:26:02.578Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,225,9452.00,23.32,23.33,32.34,38.30,0,0,0,28.51,16.41,30034,283744,92,2026-08-27T05:26:53.641Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,200,3619.70,54.64,47.11,132.25,158.26,0,0,0,18.69,10.76,30013,108774,93,2026-08-27T05:27:44.786Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,220,9276.74,23.24,23.14,32.18,38.03,0,0,0,31.10,16.66,30042,278514,94,2026-08-27T05:28:35.847Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,jwt,195,3602.77,53.56,49.48,121.57,148.41,0,0,0,19.78,10.57,30014,108255,95,2026-08-27T05:29:26.991Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,220,9268.54,23.24,23.46,31.81,37.28,0,0,0,30.60,16.56,30025,278270,96,2026-08-27T05:30:18.066Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,175,7777.60,22.02,21.50,33.81,39.27,0,0,0,27.77,22.04,30045,233488,97,2026-08-27T05:31:09.201Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,205,3692.77,54.95,43.65,139.91,175.09,0,0,0,19.78,10.94,30013,110975,98,2026-08-27T05:32:00.376Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,stateful,205,9112.47,22.02,21.74,32.08,36.99,0,0,0,29.69,18.42,30055,273578,99,2026-08-27T05:32:51.457Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,195,8987.21,21.22,21.21,31.23,36.57,0,0,0,30.64,21.20,30037,269790,100,2026-08-27T05:33:42.616Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,stateful,190,8509.34,21.85,21.95,32.55,38.31,0,0,0,28.81,21.68,30042,255442,101,2026-08-27T05:34:33.760Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
4,jwt,195,3476.07,55.54,48.35,132.35,162.73,0,0,0,18.59,10.58,30011,104464,102,2026-08-27T05:35:24.925Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,205,9154.67,21.89,21.83,31.53,36.94,0,0,0,28.99,20.09,30019,274839,103,2026-08-27T05:36:15.998Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
5,jwt,185,3525.07,51.94,46.13,117.76,148.24,0,0,0,19.11,10.56,30011,105924,104,2026-08-27T05:37:07.142Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,stateful,175,7835.34,21.86,21.39,33.70,38.84,0,0,0,28.95,22.12,30057,235221,105,2026-08-27T05:37:58.210Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,stateful,220,9136.40,23.58,23.52,34.28,39.29,0,0,0,27.37,16.91,30024,274295,106,2026-08-27T05:38:49.414Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,175,7840.00,21.85,21.37,33.66,38.65,0,0,0,25.68,22.20,30059,235358,107,2026-08-27T05:39:40.561Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
2,jwt,190,3615.47,52.01,44.57,120.97,149.90,0,0,0,19.53,10.54,30011,108639,108,2026-08-27T05:40:31.731Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
1,stateful,185,8264.07,21.89,21.65,33.31,39.71,0,0,0,28.56,21.91,30032,248093,109,2026-08-27T05:41:22.819Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
3,jwt,185,3584.34,51.06,44.47,117.96,152.72,0,0,0,20.20,10.54,30010,107697,110,2026-08-27T05:42:13.976Z,v24.11.1,"12th Gen Intel(R) Core(TM) i5-1240P (15.68 GB)"
